,Stock Name,3M Price Chart,Market Cap (Cr),LTPLast Traded Price,Day High Low (%),Week High Low (%),Month High Low (%),Qtr High Low(%),1 Year High low(%),3 Year High low(%),5 Year High low(%),10 Year High low(%)
21,Poly Medicure Ltd.,,10709.4,1115.9,L  -0.9%  H  1104.8  1131.1,L  -2.8%  H  1075  1314.7,L  11.9%  H  1005  1314.7,L  19.9%  H  921.1  1314.7,L  51.1%  H  710  1314.7,L  190.2%  H  365  1314.7,L  408.3%  H  165.1  1314.7,L  1547.3%  H  55  1314.7
22,Polyplex Corporation Ltd.,,4049.5,1290.0,L  -0.2%  H  1286.7  1305,L  -2.9%  H  1286.7  1335.0,L  0.3%  H  1282.3  1394.0,L  2.3%  H  1231.3  1644.3,L  -43.1%  H  1101  2525,L  121.2%  H  561.1  2870.2,L  196.2%  H  288  2870.2,L  865.5%  H  107.1  2870.2
23,Power Grid Corporation of ...,,167445.7,240.1,L  -1.3%  H  236.7  244.4,L  -6.0%  H  236.7  256.4,L  -2.6%  H  236.7  263.6,L  3.8%  H  228.7  263.6,L  11.7%  H  186.4  263.6,L  95.9%  H  116.0  263.6,L  76.1%  H  91.6  263.6,L  190.2%  H  64.9  263.6
24,Aegis Logistics Ltd.,,12364.0,352.3,L  1.7%  H  345.4  354.0,L  4.1%  H  339.1  366.9,L  1.4%  H  308.6  366.9,L  -9.0%  H  308.6  410.5,L  70.2%  H  205.2  410.5,L  94.4%  H  167.3  410.5,L  47.7%  H  107.3  410.5,L  2639.1%  H  10.2  410.5
25,Praj Industries Ltd.,,7470.7,406.7,L  2.1%  H  398.1  409.7,L  2.3%  H  394.4  415.8,L  4.9%  H  366.0  415.8,L  20.0%  H  335  415.8,L  7.6%  H  298.7  461.6,L  523.2%  H  58.6  461.6,L  426.1%  H  43  461.6,L  895.5%  H  31  461.6
26,General Insurance Corporat...,,32403.8,184.7,L  0.2%  H  184  186.5,L  0.2%  H  183.1  195.7,L  1.0%  H  178.6  195.7,L  27.6%  H  142.4  195.7,L  59.3%  H  114  204,L  21.1%  H  105  244.2,L  -50.2%  H  81.5  383,L  ;  H  81.5  449.5
27,UTI Asset Management Compa...,,10563.8,831.9,L  2.2%  H  818.2  833,L  4.5%  H  786  833,L  20.6%  H  677.7  833,L  18.8%  H  638.8  833,L  27.6%  H  608  908,L  ;  H  471.1  1216.2,L  ;  H  471.1  1216.2,L  ;  H  471.1  1216.2
28,Mazagon Dock Shipbuilders ...,,33054.0,1638.9,L  -4.8%  H  1636.0  1740,L  23.9%  H  1302.3  1766.7,L  59.1%  H  1027.4  1766.7,L  132.9%  H  695.2  1766.7,L  536.1%  H  253.9  1766.7,L  ;  H  164  1766.7,L  ;  H  164  1766.7,L  ;  H  164  1766.7
29,Varroc Engineering Ltd.,,5433.1,355.6,L  1.0%  H  346  358,L  1.3%  H  345.3  359,L  6.4%  H  315  359,L  34.7%  H  263.1  359,L  15.6%  H  239.5  409.8,L  71.6%  H  186  493.9,L  -65.7%  H  120  1178.7,L  ;  H  120  1178.7
30,AIA Engineering Ltd.,,31723.3,3363.4,L  0.1%  H  3341  3392,L  4.9%  H  3182  3402.4,L  2.1%  H  3100.8  3499.0,L  16.7%  H  2620  3499.0,L  45.2%  H  2285  3499.0,L  103.9%  H  1475.1  3499.0,L  109.4%  H  1102.2  3499.0,L  958.7%  H  282  3499.0
31,Prestige Estates Projects ...,,22606.6,564.0,L  -0.6%  H  561.2  582.9,L  -3.1%  H  521.2  616.2,L  -5.7%  H  521.2  616.2,L  25.7%  H  433.6  616.2,L  29.3%  H  391  616.2,L  204.0%  H  167  616.2,L  116.0%  H  133.7  616.2,L  276.5%  H  105.7  616.2
32,Galaxy Surfactants Ltd.,,9079.1,2560.8,L  -0.8%  H  2554  2586.4,L  -2.6%  H  2554  2650.6,L  -10.3%  H  2554  2979.0,L  3.2%  H  2420.6  2979.0,L  -13.2%  H  2221.6  3447.6,L  62.2%  H  1537  3585.7,L  95.6%  H  871.8  3585.7,L  ;  H  871.8  3585.7
33,Ajanta Pharma Ltd.,,18184.1,1444.2,L  2.3%  H  1413.9  1450.4,L  1.6%  H  1386.6  1461,L  -2.1%  H  1386.6  1550,L  15.1%  H  1229.9  1550,L  21.3%  H  1111.6  1550,L  60.0%  H  890.2  1623.3,L  110.9%  H  550  1623.3,L  687.4%  H  127.3  1623.3
34,Prism Johnson Ltd.,,6344.8,126.1,L  -0.1%  H  125.8  129.0,L  -4.9%  H  123.6  139.5,L  -1.0%  H  122.3  139.5,L  11.1%  H  112.9  139.5,L  18.1%  H  98  143.7,L  158.6%  H  44.0  160,L  29.7%  H  25.7  160,L  249.2%  H  22.5  160
35,Alkyl Amines Chemicals Ltd.,,12578.4,2460.9,L  ;  H  2452.0  2498.5,L  -5.7%  H  2452.0  2614.8,L  -9.3%  H  2452.0  2797.7,L  1.4%  H  2318.9  2797.7,L  -7.2%  H  2146.1  3226.3,L  161.6%  H  890  4749,L  837.0%  H  214  4749,L  8688.8%  H  26  4749
36,Happiest Minds Technologie...,,14297.2,973.5,L  1.1%  H  968.1  988.6,L  -0.8%  H  954  1002.9,L  6.2%  H  902.1  1023,L  20.6%  H  783.5  1023,L  17.4%  H  763.3  1136,L  ;  H  307  1580,L  ;  H  307  1580,L  ;  H  307  1580
37,PVR INOX Ltd.,,13880.3,1416.8,L  1.0%  H  1385.5  1426.8,L  -1.6%  H  1385.5  1473.7,L  -2.8%  H  1360.5  1516.8,L  -7.4%  H  1336.4  1562,L  -25.6%  H  1336.4  2214.9,L  38.0%  H  988.4  2214.9,L  17.0%  H  718.3  2214.9,L  325.4%  H  321.1  2214.9
38,Radico Khaitan Ltd.,,18463.0,1381.2,L  2.0%  H  1359.5  1391.9,L  1.9%  H  1310  1419.0,L  16.5%  H  1178.1  1448.9,L  25.2%  H  1083  1448.9,L  53.7%  H  901.3  1448.9,L  264.3%  H  360.5  1448.9,L  289.3%  H  220  1448.9,L  1307.2%  H  76.0  1448.9
39,Rain Industries Ltd.,,5543.0,164.8,L  0.4%  H  163.8  166,L  0.1%  H  162.4  169.0,L  -1.1%  H  161.1  176,L  4.5%  H  144.7  176,L  13.7%  H  142.1  206.4,L  65.1%  H  89.4  272.8,L  -8.3%  H  44.8  272.8,L  362.9%  H  25.5  475
40,Amara Raja Batteries Ltd.,,11694.7,684.7,L  -0.4%  H  682  691.2,L  -2.2%  H  677  706,L  9.0%  H  618.2  709,L  20.0%  H  568.8  709,L  47%  H  461.5  709,L  -1.6%  H  438.1  1025.6,L  -15.0%  H  348.6  1025.6,L  164.7%  H  205.2  1128
41,Borosil Renewables Ltd.,,6274.1,480.7,L  1.2%  H  476.3  484.9,L  -3.1%  H  472.5  499.1,L  -10.7%  H  472.5  573,L  8.9%  H  433.5  573,L  -22.2%  H  380  676.9,L  502.4%  H  67.5  833.4,L  ;  H  27.5  833.4,L  ;  H  27.5  833.4
42,Ambuja Cements Ltd.,,82722.0,416.6,L  -0.1%  H  414.1  419.2,L  -0.3%  H  412.1  424.9,L  -10.3%  H  412.1  468.9,L  6.1%  H  373.4  468.9,L  12.6%  H  315.3  598,L  118.7%  H  185.7  598,L  111.6%  H  136.6  598,L  111.3%  H  136.6  598
43,Rajesh Exports Ltd.,,15511.5,525.4,L  0.8%  H  514.9  530.1,L  -0.3%  H  514.9  545,L  -7.1%  H  514.2  669.3,L  -10.3%  H  514.2  669.3,L  -11.9%  H  514.2  1029.7,L  12.4%  H  441  1029.7,L  -7.3%  H  441  1029.7,L  411.8%  H  68.6  1029.7
44,Indian Railway Finance Cor...,,42538.0,32.6,L  ;  H  32.5  32.8,L  -1.7%  H  32.4  33.3,L  -1.5%  H  32.0  34.2,L  18.4%  H  27.3  37.4,L  62.8%  H  20.0  37.4,L  ;  H  19.3  37.4,L  ;  H  19.3  37.4,L  ;  H  19.3  37.4
45,Indigo Paints Ltd.,,6784.7,1425.7,L  -0.1%  H  1416.1  1437.1,L  -1.6%  H  1416.1  1458.8,L  0.3%  H  1397  1500.0,L  31.7%  H  1057.5  1548,L  1.8%  H  982.0  1732.0,L  ;  H  982.0  3330.0,L  ;  H  982.0  3330.0,L  ;  H  982.0  3330.0
46,Rallis India Ltd.,,4112.0,211.5,L  1.4%  H  207.3  213.5,L  0.6%  H  201.4  213.5,L  8.2%  H  192.7  215,L  2.9%  H  186.6  215,L  6.7%  H  186.6  270.9,L  -27.7%  H  182.5  362.6,L  9.7%  H  125  362.6,L  35.7%  H  125  362.6
47,The Ramco Cements Ltd.,,21884.2,926.2,L  -0.3%  H  920.2  941.9,L  0.0%  H  918.0  945,L  -1.4%  H  908.3  953,L  24.1%  H  716.1  953,L  42.3%  H  634  953,L  40.5%  H  575.7  1132.7,L  40.8%  H  455  1132.7,L  332.8%  H  135.2  1132.7
48,Ratnamani Metals & Tubes Ltd.,,17124.9,2443.2,L  1%  H  2402.6  2449,L  1.3%  H  2367  2475,L  4.5%  H  2262.1  2475,L  17.1%  H  2079.4  2528,L  39.9%  H  1601.1  2528,L  256.7%  H  679.3  2528,L  314.1%  H  479.4  2528,L  2533.6%  H  79.4  2528
49,APL Apollo Tubes Ltd.,,36928.0,1331.6,L  -1.2%  H  1325.1  1360,L  1.1%  H  1301  1362,L  -1.3%  H  1275.1  1398,L  11.9%  H  1047  1398,L  54.6%  H  858.2  1398,L  668.2%  H  167.5  1398,L  681.7%  H  100.3  1398,L  7825.9%  H  13.2  1398
50,Alembic Pharmaceuticals Ltd.,,12937.8,658.2,L  0.8%  H  641.3  661.3,L  0.2%  H  641.3  667.0,L  11.4%  H  588.2  667.0,L  25.4%  H  517.1  667.0,L  -7.4%  H  462.3  718.4,L  -30.7%  H  462.3  1145,L  23.6%  H  434.8  1145,L  312.8%  H  120.3  1145
51,Apollo Hospitals Enterpris...,,74362.6,5171.8,L  -0.2%  H  5096.3  5198.5,L  0.5%  H  5096.3  5289.9,L  3.3%  H  5000.1  5310,L  17.6%  H  4221.6  5310,L  32.7%  H  3875  5310,L  258.7%  H  1427.6  5935.4,L  430.5%  H  910.1  5935.4,L  425.4%  H  801.2  5935.4
52,Apollo Tyres Ltd.,,26407.5,415.8,L  -2.1%  H  413.5  424.5,L  -0.6%  H  413.5  436.5,L  1.9%  H  394.1  436.5,L  28.3%  H  323.1  436.5,L  101.2%  H  206.3  436.5,L  276.5%  H  105.9  436.5,L  54.6%  H  73.4  436.5,L  532.4%  H  59.4  436.5
53,Orient Electric Ltd.,,5134.7,240.7,L  -6.8%  H  238.1  261.7,L  -4.6%  H  238.1  262,L  -0.7%  H  232  262,L  5.2%  H  215.7  262,L  -13.4%  H  215.7  296.7,L  38.9%  H  171.6  408,L  96.9%  H  103.3  408,L  ;  H  103.3  408
54,Raymond Ltd.,,12186.0,1830.5,L  0.5%  H  1810  1838.8,L  4.7%  H  1751  1854.0,L  9.6%  H  1650.3  1854.0,L  39.9%  H  1304.2  1854.0,L  93.3%  H  917.2  1854.0,L  629.0%  H  233.4  1854.0,L  106.7%  H  210  1854.0,L  662.2%  H  175.5  1854.0
55,Rashtriya Chemicals & Fert...,,6281.0,113.9,L  1.3%  H  112.3  114.7,L  -2.2%  H  111  119.5,L  2.9%  H  107.7  119.5,L  6.0%  H  101.2  119.5,L  40.1%  H  80.4  144.9,L  137.2%  H  41.7  144.9,L  58.6%  H  22  144.9,L  233.4%  H  22  144.9
56,REC Ltd.,,42210.6,160.3,L  -3.0%  H  159.5  162.3,L  -3.4%  H  159.5  171.2,L  4.3%  H  150.6  171.2,L  32.1%  H  120.5  171.2,L  76.2%  H  90.1  171.2,L  106.9%  H  68.9  171.2,L  121.6%  H  59.1  171.2,L  110.5%  H  54.8  171.2
57,Redington Ltd.,,14246.2,182.3,L  -2.2%  H  181.1  187.8,L  -3.5%  H  181.1  190.2,L  -4.1%  H  181.1  196,L  4.2%  H  164.3  196,L  48.2%  H  118.1  202.3,L  292.8%  H  42.8  202.3,L  220.0%  H  29.6  202.3,L  454.3%  H  23.7  202.3
58,Nazara Technologies Ltd.,,4421.8,668.2,L  0.4%  H  658.3  675,L  -7.3%  H  606.3  736,L  -2.4%  H  606.3  743.7,L  24.2%  H  506  743.7,L  18.0%  H  480.4  789,L  ;  H  475.1  1678,L  ;  H  475.1  1678,L  ;  H  475.1  1678
59,Relaxo Footwears Ltd.,,22426.9,900.9,L  0.0%  H  895.6  906.4,L  -1.8%  H  893  918.7,L  -2.6%  H  879.2  935,L  10.5%  H  801.1  941.9,L  -8.6%  H  748  1107,L  45.2%  H  578  1448,L  139.2%  H  332.2  1448,L  2330.3%  H  33.1  1448
60,Reliance Industries Ltd.,,1854317.5,2740.7,L  -0.1%  H  2725.1  2760.9,L  4.1%  H  2675  2802,L  7.4%  H  2486.7  2802,L  16.4%  H  2326  2802,L  14.3%  H  2180  2802,L  43.0%  H  1798  2856.2,L  149.2%  H  875.7  2856.2,L  515.9%  H  382.0  2856.2
61,Asahi India Glass Ltd.,,13134.1,540.3,L  2.8%  H  520.9  542.8,L  2.1%  H  520.9  543.9,L  11.9%  H  473.5  543.9,L  13.8%  H  445.5  543.9,L  -1.9%  H  419.7  694,L  221.4%  H  160  694,L  60.1%  H  119  694,L  1188.0%  H  29.9  694
62,Shree Renuka Sugars Ltd.,,9173.8,43.1,L  0.4%  H  42.8  43.7,L  -1.4%  H  42.8  44.2,L  -0.6%  H  42.8  46,L  -6.8%  H  41.3  49.3,L  -7.9%  H  39.4  68.8,L  373.6%  H  8.1  68.8,L  250.4%  H  3.3  68.8,L  136.8%  H  3.3  68.8
63,Ashok Leyland Ltd.,,50428.0,171.8,L  0.9%  H  168.3  172,L  5.0%  H  162.1  173,L  9.9%  H  156.0  173.9,L  24.5%  H  135.8  173.9,L  21.2%  H  133.1  173.9,L  240.8%  H  48  173.9,L  29.6%  H  33.7  173.9,L  864.9%  H  11.8  173.9
64,Indian Railway Catering & ...,,49828,622.9,L  0.8%  H  616.6  623.7,L  -1.2%  H  614.4  632,L  -3.2%  H  614.4  675,L  5.1%  H  584.2  675,L  6.3%  H  557.1  774.9,L  128.6%  H  258.0  1279.3,L  ;  H  125  1279.3,L  ;  H  125  1279.3
65,Asian Paints Ltd.,,328980.9,3429.8,L  0.9%  H  3387  3439,L  2.6%  H  3294.0  3439,L  4.9%  H  3242.5  3449.6,L  22.1%  H  2800.7  3449.6,L  16.7%  H  2685.9  3582.9,L  103.1%  H  1645.1  3590,L  150.7%  H  1118  3590,L  610.6%  H  373.4  3590
66,Rites Ltd.,,9357.4,389.4,L  0.6%  H  383.6  391.3,L  3.0%  H  371.1  399.1,L  2.6%  H  364.8  408,L  12.9%  H  342.3  433,L  66.2%  H  232.3  433,L  59.8%  H  226.2  433,L  143.1%  H  153.7  433,L  ;  H  152  433
67,Astral Ltd.,,49689.1,1849.9,L  0.2%  H  1838.1  1860.9,L  3.5%  H  1772.8  1867.0,L  -6.0%  H  1772.8  2013.2,L  27.6%  H  1383.6  2024.1,L  39.8%  H  1284.9  2024.1,L  259.6%  H  513.6  2024.1,L  291.7%  H  367.2  2024.1,L  3441.1%  H  40.5  2024.1
68,CreditAccess Grameen Ltd.,,20291.8,1275.7,L  0.8%  H  1263.6  1288.3,L  -0.5%  H  1260  1306.1,L  4.8%  H  1168.7  1396.9,L  33.6%  H  934.4  1396.9,L  23.5%  H  834.1  1396.9,L  132.5%  H  494.7  1396.9,L  ;  H  242.1  1396.9,L  ;  H  242.1  1396.9
69,Fine Organic Industries Ltd.,,14351.3,4680.8,L  1.1%  H  4620  4697.0,L  -2.7%  H  4620  4823.7,L  -5.1%  H  4620  4999.4,L  4.3%  H  4251.1  5125,L  -5.6%  H  4040  7328.8,L  119.4%  H  2000  7328.8,L  480.9%  H  735  7328.8,L  ;  H  735  7328.8
70,Atul Ltd.,,19366.1,6561.7,L  0.2%  H  6516.9  6609,L  -3.2%  H  6506  6809.5,L  -6.3%  H  6506  7170,L  -7.1%  H  6506  7170,L  -20.5%  H  6506  9812.9,L  42.2%  H  4560  10969,L  138.1%  H  2716  10969,L  1907.9%  H  285  10969
71,Aurobindo Pharma Ltd.,,43297.9,739.0,L  2.0%  H  723.4  743.0,L  -0.9%  H  720.6  751.6,L  10.3%  H  665.8  765,L  30.6%  H  556.1  765,L  33.7%  H  397.2  765,L  -8.7%  H  397.2  1063.9,L  22.7%  H  288.9  1063.9,L  671.7%  H  69.2  1063.9
72,Patanjali Foods Ltd.,,44284.6,1223.4,L  5%  H  1223.4  1223.4,L  2.2%  H  1165.1  1242.1,L  11.8%  H  1090  1242.1,L  26.1%  H  898  1242.1,L  17.3%  H  853.5  1495,L  21.9%  H  403.8  1495,L  11227.3%  H  3.4  1519.7,L  2014.7%  H  3.4  1519.7
73,Sona BLW Precision Forging...,,32036.9,547.3,L  0.9%  H  543.3  552,L  2.2%  H  532  552,L  7.3%  H  505.3  552,L  23.2%  H  437.6  574,L  -4.8%  H  398.1  607,L  ;  H  295  839.9,L  ;  H  295  839.9,L  ;  H  295  839.9
74,Avanti Feeds Ltd.,,5632.4,413.4,L  1.3%  H  410  416.6,L  2.0%  H  400.1  422.8,L  6.9%  H  383.2  422.8,L  14.2%  H  354.1  422.8,L  -8.0%  H  321.1  527.9,L  -9.4%  H  321.1  674.9,L  -7.2%  H  250.5  770,L  3342.1%  H  10.5  980
75,Axis Bank Ltd.,,294760.2,957.1,L  -0.3%  H  947.8  967,L  -2.0%  H  947  986,L  -2.1%  H  947  990,L  10.7%  H  853.7  990,L  43.2%  H  659.1  990,L  129.1%  H  400.2  990,L  83.0%  H  286  990,L  270.5%  H  152.7  990
76,Steel Authority of India (...,,37691.0,91.3,L  1.6%  H  90  91.8,L  5.1%  H  86.9  91.8,L  7.7%  H  83.4  91.8,L  11.9%  H  80.5  91.8,L  30.2%  H  68.6  93.9,L  166.8%  H  32.1  151.3,L  22.0%  H  20.2  151.3,L  92.5%  H  20.2  151.3
77,Vedant Fashions Ltd.,,29882.9,1230.9,L  -1.1%  H  1221.3  1249.0,L  2.1%  H  1205.1  1264,L  -6.8%  H  1188.5  1379,L  -0.6%  H  1188.5  1379,L  12.2%  H  1058.1  1501.6,L  ;  H  790.2  1501.6,L  ;  H  790.2  1501.6,L  ;  H  790.2  1501.6
78,Bajaj Auto Ltd.,,137506.0,4859.6,L  -0.1%  H  4850  4906.3,L  0.5%  H  4845.1  4990,L  2.7%  H  4569.1  4990,L  13.3%  H  4175.1  4990,L  25.8%  H  3461.3  4990,L  67.6%  H  2822.5  4990,L  54.8%  H  1788.7  4990,L  159.9%  H  1680.1  4990
79,Bajaj Finserv Ltd.,,257112.3,1614.2,L  -0.1%  H  1604.3  1635,L  0.0%  H  1579.8  1635,L  9.0%  H  1469.6  1642,L  20.4%  H  1306.6  1642,L  37.7%  H  1168  1844,L  158.5%  H  540  1932.5,L  155.2%  H  398.5  1932.5,L  2332.9%  H  56.1  1932.5
80,Bajaj Holdings & Investmen...,,83856.9,7534.8,L  1.7%  H  7320  7590,L  5.4%  H  7046.1  7590,L  7.8%  H  6786.0  7590,L  26.7%  H  5953  7590,L  58.8%  H  4721.4  7590,L  185.7%  H  2212.7  7590,L  151.3%  H  1460.2  7590,L  872.0%  H  761.3  7590
81,Bajaj Finance Ltd.,,453369.4,7482.4,L  0.1%  H  7399.9  7518.9,L  -1.8%  H  7381  7680,L  5.4%  H  6945  7999.9,L  26.7%  H  5828  7999.9,L  28.3%  H  5485.7  7999.9,L  134.5%  H  3006.9  8050,L  203.1%  H  1783  8050,L  5091.7%  H  96.5  8050
82,Balaji Amines Ltd.,,7177.8,2215.3,L  2.7%  H  2150  2240,L  -3.7%  H  2150  2304.9,L  -1.2%  H  2150  2458.9,L  -11.2%  H  1880  2468.5,L  -27.4%  H  1880  3844,L  250.9%  H  555.2  5223.6,L  315.1%  H  200  5223.6,L  6822.8%  H  28.1  5223.6
83,Balkrishna Industries Ltd.,,47060.2,2434.4,L  1.9%  H  2387.6  2440.0,L  1.9%  H  2276  2440,L  4.8%  H  2276  2525,L  17.6%  H  2014.6  2525,L  6.6%  H  1796.3  2525,L  94.5%  H  1230  2723.8,L  106.1%  H  679  2723.8,L  2022.0%  H  100.1  2723.8
84,Balrampur Chini Mills Ltd.,,7676.6,380.5,L  1.6%  H  374.3  381.5,L  -0.4%  H  372.9  391.8,L  -2.5%  H  372.9  416,L  -5.8%  H  371.5  430.9,L  5.6%  H  307.3  430.9,L  193.6%  H  124  525.9,L  463.7%  H  59.7  525.9,L  820.2%  H  34.5  525.9
85,Sanofi India Ltd.,,15895.6,6902.0,L  0.4%  H  6872.6  6914.4,L  -0.2%  H  6850  6982,L  0.1%  H  6755.1  7070.0,L  16.3%  H  5400  7244,L  5.0%  H  5202.1  7244,L  -10.1%  H  5202.1  9285,L  25.2%  H  5202.1  9285,L  180.5%  H  2242  9285
