,Stock Name,3M Price Chart,Market Cap (Cr),LTPLast Traded Price,Day High Low (%),Week High Low (%),Month High Low (%),Qtr High Low(%),1 Year High low(%),3 Year High low(%),5 Year High low(%),10 Year High low(%)
35,Birlasoft Ltd.,,10456.3,379.7,L  4.9%  H  362.6  381,L  7.1%  H  343.6  381,L  12.3%  H  333  381,L  44.3%  H  251.9  381,L  19.6%  H  250.3  381,L  276.7%  H  101.5  585.9,L  25.0%  H  46.7  585.9,L  197.9%  H  46.7  585.9
36,IRB Infrastructure Develop...,,15278.7,25.3,L  -0.4%  H  25.2  25.6,L  -4.2%  H  25.2  27.2,L  -8%  H  25.2  27.8,L  -5.1%  H  25.2  30.3,L  21.4%  H  19.8  34.9,L  110.1%  H  9.7  34.9,L  24.1%  H  4.6  34.9,L  152.0%  H  4.6  34.9
37,City Union Bank Ltd.,,9462.5,127.8,L  1.2%  H  126.6  129.0,L  -2.2%  H  126.1  131.5,L  2.2%  H  119.5  132.5,L  1.4%  H  119.5  146,L  -14.9%  H  119.5  205,L  2.4%  H  109  205,L  -27.4%  H  109  249.4,L  184%  H  31.2  249.4
38,Indian Energy Exchange Ltd.,,11034.7,123.8,L  1.8%  H  120.7  124,L  -1.3%  H  120.5  125.9,L  0.3%  H  120.5  132.5,L  -20.1%  H  116  163.8,L  -23.7%  H  116  175.9,L  97.5%  H  56.8  318.7,L  129.4%  H  37.4  318.7,L  ;  H  37.4  318.7
39,Global Health Ltd.,,18848.5,702.6,L  1.6%  H  683.5  706,L  1.7%  H  681.4  716.7,L  7.4%  H  629  716.7,L  43.6%  H  483.1  716.7,L  ;  H  390.6  716.7,L  ;  H  390.6  716.7,L  ;  H  390.6  716.7,L  ;  H  390.6  716.7
40,Easy Trip Planners Ltd.,,7622.5,43.9,L  -0.3%  H  43.7  44.5,L  6.4%  H  41  44.7,L  -0.1%  H  40.0  44.8,L  -2.9%  H  40.0  49.6,L  -7.7%  H  39.7  73.5,L  ;  H  10.1  73.5,L  ;  H  10.1  73.5,L  ;  H  10.1  73.5
41,Mazagon Dock Shipbuilders ...,,33054.0,1638.9,L  -4.8%  H  1636.0  1740,L  23.9%  H  1302.3  1766.7,L  59.1%  H  1027.4  1766.7,L  132.9%  H  695.2  1766.7,L  536.1%  H  253.9  1766.7,L  ;  H  164  1766.7,L  ;  H  164  1766.7,L  ;  H  164  1766.7
42,IDBI Bank Ltd.,,62041.4,57.7,L  1.0%  H  56.8  58.0,L  0.4%  H  56.8  60.5,L  6.8%  H  53.3  60.5,L  11.6%  H  50.6  60.5,L  72.2%  H  33.2  62,L  46.1%  H  26.4  65.3,L  0.7%  H  17.3  65.8,L  -20.9%  H  17.3  116.4
43,Rail Vikas Nigam Ltd.,,24916.0,119.5,L  0.7%  H  118.9  121.9,L  -2.0%  H  117.1  125.2,L  -3.4%  H  117.1  127.8,L  62.5%  H  72.6  144.4,L  289.3%  H  30.3  144.4,L  524.0%  H  18.1  144.4,L  ;  H  10  144.4,L  ;  H  10  144.4
44,National Aluminium Company...,,16401.1,89.3,L  5.6%  H  85.2  89.6,L  7.7%  H  82.7  89.6,L  4.4%  H  80.7  89.6,L  12.2%  H  79.2  89.6,L  26.5%  H  67.0  89.6,L  162.6%  H  29.1  132.7,L  51.4%  H  24.4  132.7,L  201.7%  H  24.2  132.7
45,Suzlon Energy Ltd.,,21721.4,17.7,L  0.9%  H  17.3  17.9,L  -0.8%  H  17.1  18.6,L  22.9%  H  13.3  18.6,L  119.9%  H  7.9  18.6,L  178.7%  H  5.9  18.6,L  276.6%  H  2.7  18.6,L  139.2%  H  1.7  18.6,L  100%  H  1.7  36.8
46,Bikaji Foods International...,,10709.0,429.2,L  4.3%  H  410.1  432.7,L  3.3%  H  404.1  432.7,L  3.3%  H  403.3  447.3,L  20.1%  H  355.4  447.3,L  ;  H  303  447.4,L  ;  H  303  447.4,L  ;  H  303  447.4,L  ;  H  303  447.4
47,Indian Overseas Bank,,49146.3,26.0,L  0.4%  H  25.6  26.2,L  -1.5%  H  25.6  27.3,L  5.9%  H  23.7  27.3,L  10.4%  H  23.2  27.3,L  51.2%  H  16.8  36.7,L  153.7%  H  8.5  36.7,L  90.5%  H  6.1  36.7,L  -47.0%  H  6.1  90.0
48,UCO Bank,,33237.6,27.8,L  -0.4%  H  27.5  28.2,L  -3.5%  H  27.5  29.6,L  4.5%  H  26.1  29.6,L  5.5%  H  25.7  31.6,L  149.3%  H  11.0  38.2,L  109.0%  H  10.6  38.2,L  54.0%  H  8.4  38.2,L  -58.7%  H  8.4  115.6
49,RBL Bank Ltd.,,12689.6,211.6,L  7.0%  H  197.9  213.5,L  14.6%  H  183.4  213.5,L  22.1%  H  164.6  213.5,L  43.9%  H  138.9  213.5,L  157.4%  H  80.8  213.5,L  28.2%  H  74.2  274.3,L  -62.9%  H  74.2  716.4,L  ;  H  74.2  716.4
